Authors,Title,Year,Abstract,Cited by
Das B.; Barman M.P.; Kotoky M.J.,Optimizing predictive analytics for childhood anaemia: A machine learning model approach,2026,"Problem consideredAnaemia remains a prevalent public health concern, particularly among children under five, with multifactorial causes including nutritional deficiencies, maternal health, and socioeconomic status. This study aims to enhance the prediction and understanding of childhood anaemia of Assam, India using machine learning (ML) techniques.MethodsUsing data from the National Family Health Survey-5 (NFHS-5) in Assam, India, a total of 8411 children were analyzed. Ten key predictors were identified using the Boruta algorithm and chi-square tests. Due to class imbalance, the dataset was balanced using Synthetic Minority Over-sampling Technique for Nominal and Continuous (SMOTE-NC). Four supervised ML models Logistic Regression, Random Forest, K-Nearest Neighbors (KNN), and Gradient Boosting were trained and evaluated using k-fold cross-validation.ResultGradient Boosting outperformed other models, achieving an accuracy of 77.2 %, precision of 79.2 %, recall of 77.2 %, F1-score of 76.7 %, and AUC value of 0.83 after balancing. Model interpretability was achieved by using an explainable AI tool i.e. SHAP (SHapley Additive exPlanations), which revealed that environmental, socio-economic and maternal factors such as roof and floor material, child's age, mother's anaemia level, and place of de-livery (Home/Public sector) significantly influenced anaemia risk.ConclusionThe study demonstrates the effectiveness of ML in not only predicting anaemia with high accuracy but also uncovering actionable risk factors for public health interventions. It highlights the need for data-driven approaches in addressing childhood anaemia, especially in low-resource settings. © 2025 The Authors. Published by Elsevier B.V. on behalf of INDIACLEN. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/",
Yagmur N.; Dag I.; Temurtas H.,A new computer-aided diagnostic method for classifying anaemia disease: Hybrid use of Tree Bagger and metaheuristics,2024,"Anaemia occurs when the haemoglobin (Hgb) value falls below a certain reference range. It requires many blood tests, radiological images, and tests for diagnosis and treatment. By processing medical data from patients with artificial intelligence and machine learning methods, disease predictions can be made for newly ill individuals and decision-support mechanisms can be created for physicians with these predictions. Thanks to these methods, which are very important in reducing the margin of error in the diagnoses made by doctors, the evaluation of data records in health institutions is also important for patients and hospitals. In this study, six hybrid models are proposed to classify non-anaemia records, Hgb-anaemia, folate deficiency anaemia (FDA), iron deficiency anaemia (IDA), and B12 deficiency anaemia by combining artificial intelligence and machine learning methods TreeBagger, Crow Search Algorithm (CSA), Chicken Swarm Optimization Algorithm (CSO) and JAYA methods. The proposed hybrid models are analysed with two different approaches, with/without applying the SMOTE technique to achieve high performance by better emphasizing the importance of parameters. To solve the multiclass anaemia classification problem, fuzzy logic-based parameter optimization is applied to improve the class-based accuracy as well as the overall accuracy in the dataset. The proposed methods are evaluated using ROC criteria to build a prediction model to determine the anaemia type of anaemic patients. As a result of the study on the dataset taken from the Kaggle database, it is observed that the six proposed hybrid methods outperformed other studies using the same dataset and similar studies in the literature. © 2023 The Authors. Expert Systems published by John Wiley & Sons Ltd.",
Das Mahapatra P.P.; Roy C.; Agarwal K.; Sharma S.D.; Chowdhury S.R.; Sharma S.; Rajagopal H.; Meher D.,Non-invasive hemoglobin screening device: a promising digital method for reducing anemia prevalence through routine screening and timely intervention,2024,"Background: Several non-invasive technologies are nowadays available in the market which claim to determine the hemoglobin levels instantly without the requirement of the blood sample. But no study has shown the significance of such non-invasive devices on a routine basis for determining their impact on anemia reduction programs. This study is conducted to determine the impact of regular hemoglobin screening on the women population to determine its potential in reducing anemia, using a digitalized non-invasive device. Method: A cross-sectional study was conducted on 203 women of reproductive age group, residing in the Moradabad district. Repetitive readings were taken after a time interval of a minimum of 1 month for determining the impact of regular screening. The entire data collection process was carried out using the EzeCheck mobile app. Results: It was observed that the prevalence of anemia was reduced upon the second time screening and was accepted by the women population. Repetitive testing has a significant impact on reducing anemia prevalence. Also, the simplified non-invasive technology for estimating the hemoglobin values, makes the user more comfortable to take the test. Conclusion: Non-invasive devices should be used regularly to keep track of hemoglobin levels which will help in the effective treatment of anemia. The mobile app-based testing could help to easily evaluate the reports of the patients from any remote location with instant result interpretation and health assistance. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",
Patel J.; Muralikrishna H.; Chadaga K.; Thalengala A.; Sampathila N.,Sickle cell disease detection in low-resource conditions using transfer-learning and contrastive-learning coupled with XAI,2026,"Sickle cell disease (SCD) is a severe hereditary blood disorder that affects millions worldwide, necessitating early and accurate detection to improve patient outcomes. State-of-the-art approaches for automatic detection of SCD use deep learning (DL) based models, which require a large amount of training data for efficient training. However, such large training datasets are often not available, significantly limiting the efficiency of DL-based models. In this paper, we propose different approaches to address this issue. Firstly, we propose to use a transfer-learning based approach, where we use pre-trained models like ResNet-50, DenseNet-121, and EfficientNet-B0 and fine-tune them for SCD detection. To further enhance the efficiency of the models, we then propose to include contrastive-learning-based approach using triplet loss. We also use focal loss to handle class imbalance. Additionally, we integrate Explainable Artificial Intelligence (XAI) methodologies to interpret and explain the model’s predictions, ensuring transparency and trustworthiness in clinical settings. Experiments on a publicly available SCD image dataset show that models trained with transfer learning and triplet loss outperform those trained with binary cross-entropy or focal loss. © The Author(s) 2026.",
Saputra D.C.E.; Muryadi E.I.; Futri I.; Win T.A.; Sunat K.; Ratnaningsih T.,Revolutionizing Anemia Classification with Multilayer Extremely Randomized Tree Learning Machine for Unprecedented Accuracy,2024,"Anemia is a prevalent global health issue that is characterized by a deficit in red blood cells or low levels of hemoglobin. This condition is influenced by various causes, including nutritional inadequacies, chronic diseases, and genetic predisposition. The incidence of the phenomenon exhibits variation across different geographical regions and demographic groups. This pioneering research investigates the identification and classification of anemia, potentially leading to transformative advancements in the discipline. The classification of anemia encompasses four distinct groups, namely Beta Thalassemia Trait, Iron Deficiency Anemia, Hemoglobin E, and Combination. This comprehensive categorization offers clinicians a more refined and detailed comprehension of the condition. The integration of deep learning and machine learning in the Multilayer Extremely Randomized Tree Learning Machine (MERTLM) model represents a departure from traditional approaches and a significant advancement in the field of medical categorization accuracy. The MERTLM approach integrates randomized tree with multilayer extreme learning machine (M-ELM) representation learning, hence emphasizing the possibility of interdisciplinary collaboration in the field of diagnostics. In addition to its impact on anemia, artificial intelligence (AI) is playing a significant role in revolutionizing medical diagnosis by emphasizing the integration of innovative methods. This study utilizes the combined capabilities of machine learning and deep learning to improve accuracy. Notably, recent developments have resulted in an exceptional accuracy rate of 99.67%, precision of 99.60%, sensitivity of 99.47%, and an amazing F1-Score of 99.53%. This study represents a significant advancement in the field of anemia research, providing valuable insights that may be applied to intricate medical issues and enhancing the quality of patient care. © 2024, Association for Scientific Computing Electronics and Engineering (ASCEE). All rights reserved.",
Rusch J.A.; van der Westhuizen D.J.; Gill R.S.; Louw V.J.,Diagnosing iron deficiency: Controversies and novel metrics,2023,"Iron deficiency, a pervasive global health issue, necessitates precise and reliable diagnostic methods, especially in clinical and surgical settings. This review examines an array of established markers of iron status, encapsulating parameters such as serum iron, ferritin, transferrin, and transferrin saturation alongside novel biomarkers like soluble transferrin receptor, zinc protoporphyrin, and hepcidin. We further scrutinise the potential and limitations of routine and novel diagnostic tools and strategies in distinguishing different anaemic conditions, such as iron deficiency anaemia, iron-restricted erythropoiesis, and anaemia of inflammation. Through a critical lens, we elucidate the current paradigms and pressing questions surrounding the diagnostic criteria and clinical ramifications of iron metabolism. By weaving together the nuances and diverging perspectives within the domain of iron deficiency diagnosis and management, this review aspires to foster a clearer understanding that can steer improved patient care and shape the trajectory of future research in this vital field. © 2023 The Author",
Jaiswal M.; Srivastava A.; Siddiqui T.J.,Machine learning algorithms for anemia disease prediction,2019,"The remarkable advances in health industry have led to a significant production of data in everyday life. These data require processing to extract useful information, which can be useful for analysis, prediction, recommendations, and decision making. Data mining and machine learning techniques are used to transform the available data into valuable information. In medical science, disease prediction at the right time is the central problem for professionals for prevention and effective treatment plan. Sometimes, in the absence of accuracy this may lead to death. In this study, we investigate supervised machine learning algorithms—Naive Bayes, random forest, and decision tree algorithm—for prediction of anemia using CBC (complete blood count) data collected from pathology centers. The results show that Naive Bayes technique outperforms in terms of accuracy as compared to C4.5 and random forest. © Springer Nature Singapore Pte Ltd. 2019.",54.0
Wekalao J.; Mandela N.; Apochi O.; Lefu C.; Topisia T.,Nanoengineered Graphene Metasurface Surface Plasmon Resonance Sensor for Precise Hemoglobin Detection with AI-Assisted Performance Prediction,2025,"The development of highly sensitive and reliable biosensors for hemoglobin detection is crucial for various medical and diagnostic applications. Hemoglobin, a vital protein in red blood cells responsible for oxygen transport, serves as an important biomarker for numerous health conditions. Accurate and rapid measurement of hemoglobin levels can aid in the early detection and monitoring of anemia, blood disorders, and other medical conditions. This study presents a biosensor design for hemoglobin detection, integrating a graphene-based metasurface with circular and square ring resonators constructed from silver and gold nanostructures. The proposed sensor leverages the unique plasmonic properties of plasmonic nanostructures and the remarkable optical characteristics of graphene to enhance its performance. Extensive parametric analysis and optimization are conducted to enhance detection accuracy among other performance parameters. Detection analysis demonstrated the sensor’s ability to resolve changes in hemoglobin concentration through distinct shifts in transmittance and reflectance spectra. The resulting sensor exhibits enhanced sensitivity of 3500nmRIU−1 to infrared energy, maximum FOM of 17.6, and detection limits of 0.05 among other performance parameters. Furthermore, machine learning optimization using 1D convolutional neural network regression is employed to predict the sensor’s behavior achieving high accuracy with maximum R2 scores ranging up to 1. The sensor design exhibits remarkable potential for applications requiring highly sensitive and precise hemoglobin monitoring in medical diagnostics and healthcare. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",
Haghshenas Z.; Shokri Garjan H.; Moghassem A.; Vahedi P.; Tabatabavakili Y.; Hosseinzadeh D.; Asgari G.; Nazari E.; Aldaghi T.,The Role of Artificial Intelligence in Shaping the Future of Hematological Diagnosis and Treatment,2025,"Hematological disorders continue to pose significant challenges in clinical practice due to their complexity and potential for severe outcomes. This review provides a comprehensive overview of the role of Artificial Intelligence (AI) in enhancing the diagnosis and treatment of these conditions. Drawing on 177 studies published between 2012 and 2025 from PubMed and Google Scholar, the review examines fundamental concepts of AI and machine learning, their applications in diagnostic and therapeutic processes, and the challenges and limitations associated with their clinical implementation. The findings highlight the potential of AI to improve diagnostic accuracy, optimize treatment strategies, and support decision-making in hematology. By synthesizing current knowledge, this study underscores the importance of integrating AI into research and clinical practice and offers insights into future directions for advancing patient care in hematological disorders. © 2025, Iranian Pediatric Hematology and Oncology Society. All rights reserved.",
Pilleron S.; O'Hanlon S.,Digital twins for geriatric oncology: Double trouble or twice as nice?,2023,[No abstract available],3.0
Joffe E.; Havakuk O.; Herskovic J.R.; Patel V.L.; Bernstam E.V.,Collaborative knowledge acquisition for the design of context-aware alert systems,2012,"Objective To present a framework for combining implicit knowledge acquisition from multiple experts with machine learning and to evaluate this framework in the context of anemia alerts. Materials and Methods Five internal medicine residents reviewed 18 anemia alerts, while 'talking aloud'. They identified features that were reviewed by two or more physicians to determine appropriate alert level, etiology and treatment recommendation. Based on these features, data were extracted from 100 randomlyselected anemia cases for a training set and an additional 82 cases for a test set. Two staff internists assigned an alert level, etiology and treatment recommendation before and after reviewing the entire electronic medical record. The training set of 118 cases (100 plus 18) and the test set of 82 cases were explored using RIDOR and JRip algorithms. Results The feature set was sufficient to assess 93% of anemia cases (intraclass correlation for alert level before and after review of the records by internists 1 and 2 were 0.92 and 0.95, respectively). High-precision classifiers were constructed to identify low-level alerts (precision p=0.87, recall R=0.4), iron deficiency (p=1.0, R=0.73), and anemia associated with kidney disease (p=0.87, R=0.77). Discussion It was possible to identify low-level alerts and several conditions commonly associated with chronic anemia. This approach may reduce the number of clinically unimportant alerts. The study was limited to anemia alerts. Furthermore, clinicians were aware of the study hypotheses potentially biasing their evaluation. Conclusion Implicit knowledge acquisition, collaborative filtering and machine learning were combined automatically to induce clinically meaningful and precise decision rules.",3.0
Darshan B.S.D.; Sampathila N.; Bairy G.M.; Prabhu S.; Belurkar S.; Chadaga K.; Nandish S.,Differential diagnosis of iron deficiency anemia from aplastic anemia using machine learning and explainable Artificial Intelligence utilizing blood attributes,2025,"As per world health organization, Anemia is a most prevalent blood disorder all over the world. Reduced number of Red Blood Cells or decrease in the number of healthy red blood cells is considered as Anemia. This condition also leads to the decrease in the oxygen carrying capacity of the blood. The main goal of this research is to develop a dependable method for diagnosing Aplastic Anemia and Iron Deficiency Anemia by examining the blood test attributes. As of today, there are no studies which use Interpretable Artificial Intelligence to perform the above differential diagnosis. The dataset used in this study is collected from Kasturba Medical College, Manipal. The dataset consisted of various blood test attributes such as Red Blood cell count, Hemoglobin level, Mean Corpuscular Volume, etc. One of the trending topics in Machine Learning is Explainable Artificial Intelligence. They are known to demystify the machine learning outputs to all its stakeholders. Hence, Five XAI tools including SHAP, LIME, Eli5, Qlattice and Anchor are used to understand the model’s predictions. The importance characteristics according to XAI models are PLT, PCT, MCV, PDW, HGB, ABS LYMP, WBC, MCH, and MCHC. are employed to train and test the data. The goal of using data analytic techniques is to give medical professionals a useful tool that improves decision-making, enhances resource management, and eventually raises the standard of patient care. By considering the unique qualities of each patient, medical professionals who must rely on AI-assisted diagnosis and treatment suggestions, XAI offers arguments to strengthen their faith in the model outcomes. © The Author(s) 2024.",
B S D.D.; Sharma P.; Chadaga K.; Sampathila N.; Bairy G.M.; Belurkar S.; Prabhu S.; K S S.,An ensemble machine learning framework with explainable artificial intelligence for predicting haemoglobin anaemia considering haematological markers,2024,"Anaemia is a disorder marked by low blood levels of haemoglobin (HGB), affecting people of all ages and ethnicities and is a major global public health concern. Anaemia must be diagnosed as soon as possible to enable prompt treatment and intervention, which can reduce complications and enhance patient outcomes. With the ability to improve diagnostic precision and expedite patient care procedures, machine learning (ML) has become a potent instrument in the healthcare industry. Hence, we examine the use of ML approaches to predict haemoglobin-like anaemia in this research article. Based on a heterogeneous dataset of blood markars, we investigate the performance of many machine learning techniques such as Logistic Regression, CatBoost, XgBoost Decision Trees, KNN and others. The algorithms are further ensembled using a customized stacking approach. The ML models' judgments are interpreted using explainable artificial intelligence (XAI) methods. The xgboost and the stacking classifier obtained an accuracy, precision and recall of 99% each. Our research shows how ML models can help with the early diagnosis and treatment of anaemia, which will ultimately lead to better patient outcomes and healthcare results. Overall, the research shows how ML emphasizes the value of interdisciplinary cooperation in solving challenging medical problems. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",
Cai S.; Han I.C.; Scott A.W.,Artificial intelligence for improving sickle cell retinopathy diagnosis and management,2021,"Sickle cell retinopathy is often initially asymptomatic even in proliferative stages, but can progress to cause vision loss due to vitreous haemorrhages or tractional retinal detachments. Challenges with access and adherence to screening dilated fundus examinations, particularly in medically underserved areas where the burden of sickle cell disease is highest, highlight the need for novel approaches to screening for patients with vision-threatening sickle cell retinopathy. This article reviews the existing literature on and suggests future research directions for coupling artificial intelligence with multimodal retinal imaging to expand access to automated, accurate, imaging-based screening for sickle cell retinopathy. Given the variability in retinal specialist practice patterns with regards to monitoring and treatment of sickle cell retinopathy, we also discuss recent progress toward development of machine learning models that can quantitatively track disease progression over time. These artificial intelligence-based applications have great potential for informing evidence-based and resource-efficient clinical diagnosis and management of sickle cell retinopathy. © 2021, The Author(s), under exclusive licence to The Royal College of Ophthalmologists.",13.0
Larrey D.; Zhou F.L.; Brulle-Wohlhueter C.; Benamor M.; Chavin J.; Razaz N.; Bejuit R.; Dauriat J.; Reppelin T.; Péan R.; Ekhtiari S.; Wagner N.; Lublin F.,Identification of risk profiles for liver injury in adults with multiple sclerosis using artificial intelligence method,2025,"Background: Multiple sclerosis’ (MS) treatment evolution in the past three decades has raised concerns regarding liver injury (LI) associated with disease-modifying therapies. This study aims to identify high-risk profiles for LI among MS patients by using an artificial intelligence-based subgroup discovery algorithm. Methods: This retrospective cohort study utilized Optum Market Clarity electronic health record (EHR) data. Adult patients with first known MS diagnosis between January 1st, 2015, and December 31st, 2019 were included. LI event was defined either as meeting the international lab criteria or the presence of an acute LI diagnosis. Q-Finder, a supervised non-parametric subgroup discovery algorithm, was used to identify subgroups with increased LI risk. Results: The analysis involved 5986 MS patients, of whom 233 developed a LI. The Q-Finder identified 6 risk factors associated with elevated levels of liver enzymes and 11 clinical risk factors unrelated to liver enzymes summarized into 6 themes: substance abuse and mental health disorders, anaemia, anaemia and kidney, immune disorders, male patients and diabetes, and chronic obstructive pulmonary disease. Conclusion: The Q-Finder allowed the discovery of new risk factors that may help predict MS patients at higher risk of LI and provides insights to improve patient screening criteria for clinical trials. © 2025",
Asare J.W.; Appiahene P.; Donkoh E.T.,Detection of anaemia using medical images: A comparative study of machine learning algorithms – A systematic literature review,2023,"Background: Anaemia is a global public health challenge that affects children and pregnant women. Anaemia develops when the body's supply of red blood cells declines or when the structure of the cells is weakened. The clinical diagnosis of anaemia has several challenges in practice, including insufficient funding for medical tests, inadequate medical personnel and resources in remote areas, and client reluctance that results in abstinence. Several machine learning techniques for anaemia detection have been developed due to their affordability, simplicity of use, and non-invasive nature as compared to the invasive approach. Methods: We perform a systematic review and examine current trends and concepts of machine learning in healthcare services to identify viable approaches to detect anaemia. We compare the most successful machine learning algorithms currently in use regarding machine learning, evaluation metrics, image augmentation, and the origin and size of the dataset used. Results: The result of this study is a clear indication that non-invasive methods such as the use of machine learning algorithms to detect anaemia are affordable, and provides results on time. Conclusions: This systematic review provide scientific evidence, with the results describing how effective machine learning could make anaemia detection feasible. Machine and deep learning algorithms are introduced and used to make a wide-ranging analysis of images, diagnosis, and clinical analysis in the disciplines of medical fields such as anaemia detection. © 2023 The Authors",32.0
Banaei M.; Roozbeh N.; Darsareh F.; Mehrnoush V.; Farashah M.S.V.; Montazeri F.,Utilizing machine learning to predict the risk factors of episiotomy in parturient women,2025,"Background: Episiotomy has specific indications that, if properly followed, can effectively prevent women from experiencing severe lacerations that may result in significant complications like anal incontinence. However, the risk factors related to episiotomy has been the center of much debate in the medical field in the past few years. Objective: The present study used a machine learning model to predict the factors that put women at the risk of having episiotomy using intrapartum data. Study design: This was a retrospective cohort study design. Factors such as age, educational level, residency place, medical insurance, nationality, attendance at prenatal education courses, parity, gestational age, onset of labor, presence of a doula during labor, maternal health conditions like anemia, diabetes, preeclampsia, prolonged rupture of membrane, placenta abruption, presence of meconium in amniotic fluid, intrauterine growth retardation, intrauterine fetal death, maternal body mass index, and fetal distress were extracted from the electronic health record system of a tertiary-care medical center in Iran, from January 2022 to January 2023. The criteria for inclusion were vaginal delivery of a single pregnancy. Deliveries done through scheduled/emergency cesarean section or at the mother's request were excluded. The participants were divided into two groups: those who had vaginal deliveries with episiotomy and those who had vaginal deliveries without episiotomy. The significant variables, as determined by their P-values, were selected as features for the eight machine-learning models. The evaluation of performance included area under the curve (AUC), accuracy, precision, recall, and F1-Score. Results: During the study period, out of 1775 vaginal deliveries, 629 (35.4%) required an episiotomy. Each model had an AUC value assigned to it: linear regression (0.85), deep learning (0.82), support vector machine (0.79), light gradient-boosting (0.79), logistic regression (0.78), XGBoost classification (0.77), random forest classification (0.76), decision tree classification (0.75), and permutation classification—knn (0.70). Linear regression had a better diagnostic performance among all the models with the area under the ROC curve (AUC): 0.85, accuracy: 0.80, precision: 0.74, recall: 0.86, and F_1 score: 0.79). Parity, labor onset, gestational age, body mass index, and doula support were the leading clinical factors related to episiotomy, according to their importance rankings. Conclusions: Utilizing a clinical dataset and various machine learning models to assess the risk factors of episiotomy resulted in promising results. Further research, focusing on intrapartum clinical data and perspectives of the birth attendant, is necessary to enhance the accuracy of predictions. © 2024 The Authors",
Laharika N.; Khalaf H.H.; Abdulhasan M.M.; Kadhim W.D.; Naresh D.; Potulgude Y.; Akshitha B.,A Predictive Analytical Model for Sickle Cell Anemia using Hybrid SVM and Random Forest Algorithms,2024,"A genetic condition known as sickle cell anemia is typified by aberrant hemoglobin, which results in malformed red blood cells that can lead to several health issues. For sickle cell anemia to be effectively managed and treated, early detection and monitoring are essential. The ""Sickle Anemia Detector"" research uses clinical data and analysis techniques to create a machine learning-based tool that can identify and predict sickle cell anemia. Algorithms, like SVM, random forest and the research uses a Decision Tree Classifier to train a prediction model by utilizing a dataset that includes data on hemoglobin levels, sex, and pixel values that indicate blood cell properties. The research workflow consists of multiple important components. First, the data is loaded and goes through preprocessing steps like target assignment and feature extraction. To guarantee representative samples in each subset, the dataset is next split using a stratified split into training and testing sets. After that, the model is trained using the training set of data, fine-tuning its parameters to yield the best prediction accuracy. Training and testing data are used to evaluate the model's performance and gauge how well it generalizes. With the use of an intuitive stream-lit interface, users may interactively enter data and receive predictions for the existence of sickle cell anemia with this newly designed technology. To promote openness and confidence in the forecasts, users are shown the model's performance indicators, which include training and testing results. All things considered, the Sickle Anemia Detector research advances medical technology by providing a dependable and easily accessible method for the early diagnosis and tracking of sickle cell anemia, which may enhance patient outcomes by allowing prompt intervention and treatment. © 2024 IEEE.",
Bellinger C.; Amid A.; Japkowicz N.; Victor H.,Multi-label classification of anemia patients,2016,"This work examines the application of machine learning to an important area of medicine which aims to diagnose paediatric patients with β - thalassemia minor, iron deficiency anemia or the co-occurrence of these ailments. Iron deficiency anemia is a major cause of microcytic anemia and is considered an important task in global health. Whilst existing methods, based on linear equations, are proficient at distinguishing between the two classes of anemia, they fail to identify the co-occurrence of this issues. Machine learning algorithms, however, can induce non-linear decision boundaries that enable accurate classification within complex domains. Through a multi-label classification technique, known as problem transformations, we convert the learning task to one that is appropriate for machine learning and examine the effectiveness of machine learning algorithms on this domain. Our results show that machine learning classifiers produce good overall accuracy and are able to identify instances of the co-occurrence class unlike the existing methods. © 2015 IEEE.",19.0
Cosín-Sales J.; Anguita Sánchez M.; Suárez C.; Arias-Cabrales C.; Martínez-Sanchez L.; Arumi D.; Fernández de Cabo S.,Safety and Effectiveness of Oral Anticoagulants in Atrial Fibrillation: Real-World Insights Using Natural Language Processing and Machine Learning,2024,"Background/Objectives: We assessed the effectiveness and safety of vitamin K antagonists (VKAs) versus direct oral anticoagulants (DOACs) in patients with atrial fibrillation (AF) using artificial intelligence techniques. Methods: This is a retrospective study in 15 Spanish hospitals (2014–2020), including adult AF patients with no history of anticoagulation, thrombosis events, rheumatic mitral valvular heart disease, mitral valve stenosis, or pregnancy. We employed EHRead® technology based on natural language processing (NLP) and machine learning (ML), along with SNOMED-CT terminology, to extract clinical data from electronic health records (EHRs). Using propensity score matching (PSM), the effectiveness, safety, and hospital mortality of VKAs versus DOACs were analyzed through Kaplan–Meier curves and Cox regression. Results: Out of 138,773,332 EHRs from 4.6 million individuals evaluated, 44,292 patients were included, 79.6% on VKAs and 20.4% on DOACs. Most patients were elderly [VKA 78 (70, 84) and DOAC 75 (66, 83) years], with numerous comorbidities (75.5% and 70.2% hypertension, 47.2% and 39.9% diabetes, and 40.3% and 34.8% heart failure, respectively). Additionally, 60.4% of VKA and 48.7% of DOAC users had a CHA2DS2-VASc Score ≥4. After PSM, 8929 patients per subgroup were selected. DOAC users showed a lower risk of thrombotic events [HR 0.81 (95% CI 0.70–0.94)], minor bleeding [HR 0.89 (95% CI 0.83–0.96)], and mortality [HR 0.80 (95% CI 0.69–0.92)]. Conclusions: Applying NLP and ML, we generated valuable real-world evidence on anticoagulated AF patients in Spain. Even in complex populations, DOACs have demonstrated a better safety and effectiveness profile than VKAs. © 2024 by the authors.",
Saputra D.C.E.; Sunat K.; Ratnaningsih T.,A New Artificial Intelligence Approach Using Extreme Learning Machine as the Potentially Effective Model to Predict and Analyze the Diagnosis of Anemia,2023,"The procedure to diagnose anemia is time-consuming and resource-intensive due to the existence of a multitude of symptoms that can be felt physically or seen visually. Anemia also has several forms, which can be distinguished based on several characteristics. It is possible to diagnose anemia through a quick, affordable, and easily accessible laboratory test known as the complete blood count (CBC), but the method cannot directly identify different kinds of anemia. Therefore, further tests are required to establish a gold standard for the type of anemia in a patient. These tests are uncommon in settings that offer healthcare on a smaller scale because they require expensive equipment. Moreover, it is also difficult to discern between beta thalassemia trait (BTT), iron deficiency anemia (IDA), hemoglobin E (HbE), and combination anemias despite the presence of multiple red blood cell (RBC) formulas and indices with differing optimal cutoff values. This is due to the existence of several varieties of anemia in individuals, making it difficult to distinguish between BTT, IDA, HbE, and combinations. Therefore, a more precise and automated prediction model is proposed to distinguish these four types to accelerate the identification process for doctors. Historical data were retrieved from the Laboratory of the Department of Clinical Pathology and Laboratory Medicine, Faculty of Medicine, Public Health, and Nursing, Universitas Gadjah Mada, Yogyakarta, Indonesia for this purpose. Furthermore, the model was developed using the algorithm for the extreme learning machine (ELM). This was followed by the measurement of the performance using the confusion matrix and 190 data representing the four classes, and the results showed 99.21% accuracy, 98.44% sensitivity, 99.30% precision, and an F1 score of 98.84%. © 2023 by the authors.",87.0
Mazzu-Nascimento T.; Evangelista D.N.; Abubakar O.; Sousa A.S.; Souza L.C.D.; Chachá S.G.F.; Luporini R.L.; Domingues L.V.; Silva D.F.; Nogueira-De-Almeida C.A.,"Smartphone-based photo analysis for the evaluation of anemia, jaundice and COVID-19; [Analise de fotos pelo smartphone para avaliacao de anemia, ictericia e COVID-19]",2021,"Anemia and jaundice are common health conditions that affect millions of children, adults, and the elderly worldwide. Recently, the pandemic caused by severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2), the virus that leads to COVID-19, has generated an extreme worldwide concern and a huge impact on public health, education, and economy, reaching all spheres of society. The development of techniques for non-invasive diagnosis and the use of mobile health (mHealth) is reaching more and more space. The analysis of a simple photograph by smartphone can allow an assessment of a person's health status. Image analysis techniques have advanced a lot in a short time. Analyses that were previously done manually, can now be done automatically by methods involving artificial intelligence. The use of smartphones, combined with machine learning techniques for image analysis (preprocessing, extraction of characteristics, classification, or regression), capable of providing predictions with high sensitivity and specificity, seems to be a trend. We presented in this review some highlights of the evaluation of anemia, jaundice, and COVID-19 by photo analysis, emphasizing the importance of using the smartphone, machine learning algorithms, and applications that are emerging rapidly. Soon, this will certainly be a reality. Also, these innovative methods will encourage the incorporation of mHealth technologies in telemedicine and the expansion of people's access to health services and early diagnosis. © 2021. Associação Brasileira de Nutrologia. All rights reserved.",9.0
